TripID,MMSI,StartLatitude,StartLongitude,StartTime,EndLatitude,EndLongitude,EndTime,ID,time,shiptype,Latitude,Longitude,SOG,COG,TH
20801,244617000,5.333.627.581,8.492.150.033,2016-03-21,535.344.394,9.985.167.791,2016-03-23,147810409,2016-03-23,70,5.353.510.284,9.984.834.671,899.999.976,194.0,0
24805,211855000,53.561.745,854.912,2016-03-24,5.354.329,9.976.198.333,2016-03-24,150860752,2016-03-24,70,5.387.366.486,7.886.576.653,7.699.999.809,3.599.999.905,0
25124,229620000,53.572.155,8.541.153.908,2016-08-03,5.353.433.228,9.903.244.972,2016-08-03,420080463,2016-08-03,71,5.392.035.675,7.731.894.493,1.080.000.019,3.556.000.061,0
25124,229620000,53.572.155,8.541.153.908,2016-08-03,5.353.433.228,9.903.244.972,2016-08-03,420183505,2016-08-03,71,5.399.269.485,7.922.604.084,3.700.000.048,1.989.999.962,0
37456,244198000,5.358.413.833,8.529.288.333,2016-01-25,5.353.103.333,9.911.341.667,2016-01-25,55110507,2016-01-25,70,5.384.199.905,8.117.891.312,1.679.999.924,0.0,358
37468,244198000,53.584.335,8.529.751.667,2016-02-07,53.533.015,9.906.926.667,2016-02-08,71904704,2016-02-08,70,5.384.513.474,8.118.124.962,1.829.999.924,0.0,1
37468,244198000,53.584.335,8.529.751.667,2016-02-07,53.533.015,9.906.926.667,2016-02-08,71853835,2016-02-08,70,5.392.636.871,7.972.819.805,17.0,3.502.999.878,0
37468,244198000,53.584.335,8.529.751.667,2016-02-07,53.533.015,9.906.926.667,2016-02-08,71893873,2016-02-08,70,5.382.055.283,8.119.428.635,1.729.999.924,3.578.999.939,0
37468,244198000,53.584.335,8.529.751.667,2016-02-07,53.533.015,9.906.926.667,2016-02-08,71895447,2016-02-08,70,5.382.537.842,8.119.148.254,1.739.999.962,358.0,0
37537,244198000,5.358.291.771,8.530.775.896,2016-04-03,5.353.526.787,9.950.373.038,2016-04-04,171475930,2016-04-04,71,5.382.586.288,8.121.207.237,1.460.000.038,3.542.000.122,0
37537,244198000,5.358.291.771,8.530.775.896,2016-04-03,5.353.526.787,9.950.373.038,2016-04-04,171478397,2016-04-04,71,5.383.383.942,8.120.010.376,1.430.000.019,3.552.000.122,0
37537,244198000,5.358.291.771,8.530.775.896,2016-04-03,5.353.526.787,9.950.373.038,2016-04-04,171479288,2016-04-04,71,5.383.779.907,8.119.579.315,1.469.999.981,3.573.999.939,0
37544,244198000,5.358.829.364,8.525.667.749,2016-04-11,5.352.630.349,9.923.393.389,2016-04-11,187312812,2016-04-11,71,5.382.936.478,8.119.021.416,1.620.000.076,3.586.000.061,0
37544,244198000,5.358.829.364,8.525.667.749,2016-04-11,5.352.630.349,9.923.393.389,2016-04-11,187315829,2016-04-11,71,538.338.089,8.118.841.171,1.569.999.981,3.583.999.939,0
37544,244198000,5.358.829.364,8.525.667.749,2016-04-11,5.352.630.349,9.923.393.389,2016-04-11,187321317,2016-04-11,71,5.384.268.188,8.118.391.991,1.660.000.038,3.577.999.878,0
37544,244198000,5.358.829.364,8.525.667.749,2016-04-11,5.352.630.349,9.923.393.389,2016-04-11,187312547,2016-04-11,71,5.382.481.003,8.119.165.421,1.629.999.924,359.0,0
37544,244198000,5.358.829.364,8.525.667.749,2016-04-11,5.352.630.349,9.923.393.389,2016-04-11,187318003,2016-04-11,71,5.383.726.883,811.868,1.580.000.019,3.586.000.061,0
